uniprot_id,gene_symbol,protein_name
P09038,FGF2,Fibroblast growth factor 2 (FGF-2) (Basic fibroblast growth factor) (bFGF) (Heparin-binding growth factor 2) (HBGF-2)
P09086,POU2F2,"POU domain, class 2, transcription factor 2 (Lymphoid-restricted immunoglobulin octamer-binding protein NF-A2) (Octamer-binding protein 2) (Oct-2) (Octamer-binding transcription factor 2) (OTF-2)"
P09104,ENO2,Gamma-enolase (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase) (Enolase 2) (Neural enolase) (Neuron-specific enolase) (NSE)
P09147,galE,UDP-glucose 4-epimerase (EC 5.1.3.2) (Galactowaldenase) (UDP-galactose 4-epimerase)
P09148,galT,Galactose-1-phosphate uridylyltransferase (Gal-1-P uridylyltransferase) (EC 2.7.7.12) (UDP-glucose--hexose-1-phosphate uridylyltransferase)
P09152,narG,Respiratory nitrate reductase 1 alpha chain (EC 1.7.5.1) (Nitrate reductase A subunit alpha) (Quinol-nitrate oxidoreductase subunit alpha)
P09172,DBH,Dopamine beta-hydroxylase (EC 1.14.17.1) (Dopamine beta-monooxygenase) [Cleaved into: Soluble dopamine beta-hydroxylase]
P09210,GSTA2,Glutathione S-transferase A2 (EC 2.5.1.18) (GST HA subunit 2) (GST class-alpha member 2) (GST-gamma) (GSTA2-2) (GTH2)
P09211,GSTP1,Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)
P09237,MMP7,Matrilysin (EC 3.4.24.23) (Matrin) (Matrix metalloproteinase-7) (MMP-7) (Pump-1 protease) (Uterine metalloproteinase)
P09238,MMP10,Stromelysin-2 (SL-2) (EC 3.4.24.22) (Matrix metalloproteinase-10) (MMP-10) (Transin-2)
P09373,pflB,Formate acetyltransferase 1 (EC 2.3.1.54) (Pyruvate formate-lyase 1)
P09382,LGALS1,Galectin-1 (Gal-1) (14 kDa laminin-binding protein) (HLBP14) (14 kDa lectin) (Beta-galactoside-binding lectin L-14-I) (Galaptin) (HBL) (HPL) (Lactose-binding lectin 1) (Lectin galactoside-binding soluble 1) (Putative MAPK-activating protein PM12) (S-Lac lectin 1)
P09391,glpG,Rhomboid protease GlpG (EC 3.4.21.105) (Intramembrane serine protease)
P09417,QDPR,Dihydropteridine reductase (EC 1.5.1.34) (HDHPR) (Quinoid dihydropteridine reductase) (Short chain dehydrogenase/reductase family 33C member 1)
P09429,HMGB1,High mobility group protein B1 (High mobility group protein 1) (HMG-1)
P09455,RBP1,Retinol-binding protein 1 (Cellular retinol-binding protein) (CRBP) (Cellular retinol-binding protein I) (CRBP-I)
P09466,PAEP,Glycodelin (GD) (Placental protein 14) (PP14) (Pregnancy-associated endometrial alpha-2 globulin) (PAEG) (PEG) (Progestagen-associated endometrial protein) (Progesterone-associated endometrial protein) (Zona-binding inhibitory factor-1) (ZIF-1)
P09467,FBP1,"Fructose-1,6-bisphosphatase 1 (FBPase 1) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase 1) (Liver FBPase)"
P09488,GSTM1,Glutathione S-transferase Mu 1 (EC 2.5.1.18) (GST HB subunit 4) (GST class-mu 1) (GSTM1-1) (GSTM1a-1a) (GSTM1b-1b) (GTH4)
P09493,TPM1,Tropomyosin alpha-1 chain (Alpha-tropomyosin) (Tropomyosin-1)
P09546,putA,Bifunctional protein PutA [Includes: Proline dehydrogenase (EC 1.5.5.2) (Proline oxidase); Delta-1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)]
P09601,HMOX1,Heme oxygenase 1 (HO-1) (EC 1.14.14.18) [Cleaved into: Heme oxygenase 1 soluble form]
P09619,PDGFRB,Platelet-derived growth factor receptor beta (PDGF-R-beta) (PDGFR-beta) (EC 2.7.10.1) (Beta platelet-derived growth factor receptor) (Beta-type platelet-derived growth factor receptor) (CD140 antigen-like family member B) (Platelet-derived growth factor receptor 1) (PDGFR-1) (CD antigen CD140b)
P09622,DLD,"Dihydrolipoyl dehydrogenase, mitochondrial (EC 1.8.1.4) (Dihydrolipoamide dehydrogenase) (Glycine cleavage system L protein)"
P09668,CTSH,Pro-cathepsin H [Cleaved into: Cathepsin H mini chain; Cathepsin H (EC 3.4.22.16); Cathepsin H heavy chain; Cathepsin H light chain]
P09669,COX6C,Cytochrome c oxidase subunit 6C (Cytochrome c oxidase polypeptide VIc)
P09693,CD3G,T-cell surface glycoprotein CD3 gamma chain (T-cell receptor T3 gamma chain) (CD antigen CD3g)
P09848,LCT,Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]
P09871,C1S,Complement C1s subcomponent (EC 3.4.21.42) (C1 esterase) (Complement component 1 subcomponent s) [Cleaved into: Complement C1s subcomponent heavy chain (Complement C1s subcomponent chain A); Complement C1s subcomponent light chain (Complement C1s subcomponent chain B)]
P09874,PARP1,"Poly [ADP-ribose] polymerase 1 (PARP-1) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 1) (ARTD1) (DNA ADP-ribosyltransferase PARP1) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 1) (ADPRT 1) (Poly[ADP-ribose] synthase 1) (Protein poly-ADP-ribosyltransferase PARP1) (EC 2.4.2.-) [Cleaved into: Poly [ADP-ribose] polymerase 1, processed C-terminus (Poly [ADP-ribose] polymerase 1, 89-kDa form); Poly [ADP-ribose] polymerase 1, processed N-terminus (NT-PARP-1) (Poly [ADP-ribose] polymerase 1, 24-kDa form) (Poly [ADP-ribose] polymerase 1, 28-kDa form)]"
P09884,POLA1,DNA polymerase alpha catalytic subunit (EC 2.7.7.7) (DNA polymerase alpha catalytic subunit p180)
P09917,ALOX5,Polyunsaturated fatty acid 5-lipoxygenase (EC 1.13.11.-) (Arachidonate 5-lipoxygenase) (5-LO) (5-lipoxygenase) (EC 1.13.11.34)
P09958,FURIN,Furin (EC 3.4.21.75) (Dibasic-processing enzyme) (Paired basic amino acid residue-cleaving enzyme) (PACE)
P09960,LTA4H,Leukotriene A-4 hydrolase (LTA-4 hydrolase) (EC 3.3.2.6) (Leukotriene A(4) hydrolase) (Tripeptide aminopeptidase LTA4H) (EC 3.4.11.4)
P0A006,arsC,Arsenate reductase (EC 1.20.4.4) (Arsenical pump modifier) (Protein ArsC)
P0A110,ndoB,"Naphthalene 1,2-dioxygenase system, large oxygenase component (EC 1.14.12.12) (ISP NAP) (Naphthalene 1,2-dioxygenase ISP alpha) (Naphthalene 1,2-dioxygenase subunit alpha) (ND subunit alpha) (NDO subunit alpha)"
P0A1P6,glnA,Glutamine synthetase (GS) (EC 6.3.1.2) (Glutamate--ammonia ligase) (Glutamine synthetase I beta) (GSI beta)
P0A2K1,trpB,Tryptophan synthase beta chain (EC 4.2.1.20)
P0A017,folA,Dihydrofolate reductase (DHFR) (EC 1.5.1.3)
P0A0K8,gyrB,DNA gyrase subunit B (EC 5.6.2.2)
P0A112,ndoC,"Naphthalene 1,2-dioxygenase system, small oxygenase component (Naphthalene 1,2-dioxygenase ISP beta) (Naphthalene 1,2-dioxygenase subunit beta) (ND subunit beta) (NDO subunit beta)"
P0A1X2,mxiM,Type 3 secretion system pilotin (Lipoprotein MxiM) (MxiD pilot) (Secretin pilot protein)
P0A0N4,qacR,HTH-type transcriptional regulator QacR
P0A1F6,udp,Uridine phosphorylase (UPase) (UrdPase) (EC 2.4.2.3)
P0A2W7,acpS,Holo-[acyl-carrier-protein] synthase (Holo-ACP synthase) (EC 2.7.8.7) (4'-phosphopantetheinyl transferase AcpS)
P0A444,psbA1,Photosystem II protein D1 1 (PSII D1 protein 1) (EC 1.10.3.9) (Photosystem II Q(B) protein 1)
P0A6A8,acpP,Acyl carrier protein (ACP) (Cytosolic-activating factor) (CAF) (Fatty acid synthase acyl carrier protein)
P0A6C8,argB,Acetylglutamate kinase (EC 2.7.2.8) (N-acetyl-L-glutamate 5-phosphotransferase) (NAG kinase) (NAGK)
P0A6D3,aroA,3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19) (5-enolpyruvylshikimate-3-phosphate synthase) (EPSP synthase) (EPSPS)
P0A6E4,argG,Argininosuccinate synthase (EC 6.3.4.5) (Citrulline--aspartate ligase)
P0A6F3,glpK,Glycerol kinase (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase) (Glycerokinase) (GK)
P0A6G7,clpP,ATP-dependent Clp protease proteolytic subunit (EC 3.4.21.92) (Caseinolytic protease) (Endopeptidase Clp) (Heat shock protein F21.5) (Protease Ti)
P0A6I0,cmk,Cytidylate kinase (CK) (EC 2.7.4.25) (Cytidine monophosphate kinase) (CMP kinase) (Protein MssA) (p25)
P0A6K3,def,Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)
P0A6L0,deoC,Deoxyribose-phosphate aldolase (DERA) (EC 4.1.2.4) (2-deoxy-D-ribose 5-phosphate aldolase) (Phosphodeoxyriboaldolase) (Deoxyriboaldolase)
P0A6M2,dsbB,Disulfide bond formation protein B (Disulfide oxidoreductase)
P0A6Q3,fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)
P0A6R0,fabH,Beta-ketoacyl-[acyl-carrier-protein] synthase III (Beta-ketoacyl-ACP synthase III) (KAS III) (EC 2.3.1.180) (3-oxoacyl-[acyl-carrier-protein] synthase 3) (3-oxoacyl-[acyl-carrier-protein] synthase III) (EcFabH)
P0A6Y5,hslO,33 kDa chaperonin (Heat shock protein 33) (HSP33)
P0A749,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)
P0A759,nagB,Glucosamine-6-phosphate deaminase (EC 3.5.99.6) (GlcN6P deaminase) (GNPDA) (Glucosamine-6-phosphate isomerase)
P0A794,pdxJ,Pyridoxine 5'-phosphate synthase (PNP synthase) (EC 2.6.99.2)
P0A7D4,purA,Adenylosuccinate synthetase (AMPSase) (AdSS) (EC 6.3.4.4) (IMP--aspartate ligase)
P0A7E1,pyrD,Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2) (DHOdehase) (DHOD) (DHODase) (Dihydroorotate oxidase)
P0A7R5,rpsJ,Small ribosomal subunit protein uS10 (30S ribosomal protein S10) (Transcription termination/antitermination protein NusE)
P0A7S3,rpsL,Small ribosomal subunit protein uS12 (30S ribosomal protein S12)
P0A7S9,rpsM,Small ribosomal subunit protein uS13 (30S ribosomal protein S13)
P0A7U3,rpsS,Small ribosomal subunit protein uS19 (30S ribosomal protein S19)
P0A7V3,rpsC,Small ribosomal subunit protein uS3 (30S ribosomal protein S3)
P0A7V8,rpsD,Small ribosomal subunit protein uS4 (30S ribosomal protein S4)
P0A7W7,rpsH,Small ribosomal subunit protein uS8 (30S ribosomal protein S8)
P0A7X3,rpsI,Small ribosomal subunit protein uS9 (30S ribosomal protein S9)
P0A7Z4,rpoA,DNA-directed RNA polymerase subunit alpha (RNAP subunit alpha) (EC 2.7.7.6) (RNA polymerase subunit alpha) (Transcriptase subunit alpha)
P0A884,thyA,Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)
P0A8D6,ymdB,O-acetyl-ADP-ribose deacetylase (EC 3.1.1.106) (Regulator of RNase III activity)
P0A8Q0,frdC,Fumarate reductase subunit C (Fumarate reductase 15 kDa hydrophobic protein) (Quinol-fumarate reductase subunit C) (QFR subunit C)
P0A8Q3,frdD,Fumarate reductase subunit D (Fumarate reductase 13 kDa hydrophobic protein) (Quinol-fumarate reductase subunit D) (QFR subunit D)
P0A8T7,rpoC,DNA-directed RNA polymerase subunit beta' (RNAP subunit beta') (EC 2.7.7.6) (RNA polymerase subunit beta') (Transcriptase subunit beta')
P0A8V2,rpoB,DNA-directed RNA polymerase subunit beta (RNAP subunit beta) (EC 2.7.7.6) (RNA polymerase subunit beta) (Transcriptase subunit beta)
P0A8V6,fadR,Fatty acid metabolism regulator protein
P0A910,ompA,Outer membrane protein A (OmpA) (Outer membrane porin A) (Outer membrane protein 3A) (Outer membrane protein B) (Outer membrane protein II*) (Outer membrane protein d)
P0A921,pldA,Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4) (Detergent-resistant phospholipase A) (DR-phospholipase A) (Outer membrane phospholipase A) (OM PLA) (OMPLA) (Phosphatidylcholine 1-acylhydrolase)
P0A953,fabB,3-oxoacyl-[acyl-carrier-protein] synthase 1 (EC 2.3.1.41) (3-oxoacyl-[acyl-carrier-protein] synthase I) (Beta-ketoacyl-ACP synthase I) (KAS I)
P0A955,eda,KHG/KDPG aldolase ((4S)-4-hydroxy-2-oxoglutarate aldolase) (EC 4.1.3.42) (2-dehydro-3-deoxy-phosphogluconate aldolase) (EC 4.1.2.14) (2-keto-3-deoxy-6-phosphogluconate aldolase) (KDPG aldolase) (2-keto-4-hydroxyglutarate aldolase) (KHG aldolase) (Ketohydroxyglutarate aldolase) (Entner-Douderoff aldolase) (Oxaloacetate decarboxylase) (EC 4.1.1.112) (Phospho-2-dehydro-3-deoxygluconate aldolase) (Phospho-2-keto-3-deoxygluconate aldolase)
P0A959,alaA,Glutamate-pyruvate aminotransferase AlaA (EC 2.6.1.2)
P0A988,dnaN,Beta sliding clamp (Beta clamp) (Sliding clamp) (Beta-clamp processivity factor) (DNA polymerase III beta sliding clamp subunit)
P0A9B2,gapA,Glyceraldehyde-3-phosphate dehydrogenase A (GAPDH-A) (EC 1.2.1.12) (NAD-dependent glyceraldehyde-3-phosphate dehydrogenase)
P0A9D2,gstA,Glutathione S-transferase GstA (EC 2.5.1.18) (GST B1-1)
P0A9E0,araC,Arabinose operon regulatory protein (HTH-type transcriptional regulator AraC)
P0A9J6,rbsK,Ribokinase (RK) (EC 2.7.1.15)
P0A9J8,pheA,Bifunctional chorismate mutase/prephenate dehydratase (Chorismate mutase-prephenate dehydratase) (P-protein) [Includes: Chorismate mutase (CM) (EC 5.4.99.5); Prephenate dehydratase (PDT) (EC 4.2.1.51)]
P0A9M2,hpt,Hypoxanthine phosphoribosyltransferase (HPRT) (EC 2.4.2.8) (6-oxopurine phosphoribosyltransferase) (6-oxopurine PRTase)
P0A9M5,gpt,Xanthine-guanine phosphoribosyltransferase (XGPRT) (EC 2.4.2.-) (EC 2.4.2.22) (Xanthine phosphoribosyltransferase)
P0A9P4,trxB,Thioredoxin reductase (TRXR) (EC 1.8.1.9)
P0A9S1,fucO,Lactaldehyde reductase (EC 1.1.1.77) (Propanediol oxidoreductase)
P0AA43,rsuA,Ribosomal small subunit pseudouridine synthase A (EC 5.4.99.19) (16S pseudouridylate 516 synthase) (16S rRNA pseudouridine(516) synthase) (rRNA pseudouridylate synthase A) (rRNA-uridine isomerase A)
P0AAI5,fabF,3-oxoacyl-[acyl-carrier-protein] synthase 2 (EC 2.3.1.179) (3-oxoacyl-[acyl-carrier-protein] synthase II) (Beta-ketoacyl-ACP synthase II) (KAS II)
P0AAJ3,fdnH,"Formate dehydrogenase, nitrate-inducible, iron-sulfur subunit (Anaerobic formate dehydrogenase iron-sulfur subunit) (Formate dehydrogenase-N subunit beta) (FDH-N subunit beta)"
P0AB71,fbaA,"Fructose-bisphosphate aldolase class 2 (FBP aldolase) (FBPA) (EC 4.1.2.13) (Fructose-1,6-bisphosphate aldolase) (Fructose-bisphosphate aldolase class II) (Sedoheptulose bisphosphate aldolase)"
P0AB74,kbaY,"D-tagatose-1,6-bisphosphate aldolase subunit KbaY (TBPA) (TagBP aldolase) (EC 4.1.2.40) (D-tagatose-bisphosphate aldolase class II) (Ketose 1,6-bisphosphate aldolase class II) (Tagatose-bisphosphate aldolase)"
P0AB77,kbl,2-amino-3-ketobutyrate coenzyme A ligase (AKB ligase) (EC 2.3.1.29) (Glycine acetyltransferase)
P0AB80,ilvE,Branched-chain-amino-acid aminotransferase (BCAT) (EC 2.6.1.42) (Transaminase B)
P0AB87,fucA,L-fuculose phosphate aldolase (EC 4.1.2.17) (D-ribulose-1-phosphate aldolase) (EC 4.1.2.-) (L-fuculose-1-phosphate aldolase)
P0AB91,aroG,"Phospho-2-dehydro-3-deoxyheptonate aldolase, Phe-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)"
P0A3M6,penA,Penicillin-binding protein 2B (PBP2b) (Peptidoglycan transpeptidase)
P0A6I3,coaA,Pantothenate kinase (EC 2.7.1.33) (Pantothenic acid kinase) (Rts protein)
P0A6I9,coaE,Dephospho-CoA kinase (EC 2.7.1.24) (Dephosphocoenzyme A kinase)
P0A6J8,ddlA,D-alanine--D-alanine ligase A (EC 6.3.2.4) (D-Ala-D-Ala ligase A) (D-alanylalanine synthetase A)
P0A6Q5,fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59) (3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabA) (Beta-hydroxydecanoyl thioester dehydrase) (Trans-2-decenoyl-[acyl-carrier-protein] isomerase) (EC 5.3.3.14)
P0A6V8,glk,Glucokinase (EC 2.7.1.2) (Glucose kinase)
P0A6W9,gshA,Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)
P0A805,frr,Ribosome-recycling factor (RRF) (Ribosome-releasing factor)
P0A8P1,aat,Leucyl/phenylalanyl-tRNA--protein transferase (EC 2.3.2.6) (L/F-transferase) (Leucyltransferase) (Phenyalanyltransferase)
P0A927,tsx,Nucleoside-specific channel-forming protein Tsx
P0ABA0,atpF,ATP synthase subunit b (ATP synthase F(0) sector subunit b) (ATPase subunit I) (F-type ATPase subunit b) (F-ATPase subunit b)
P0A2Y7,aroC,Chorismate synthase (CS) (EC 4.2.3.5) (5-enolpyruvylshikimate-3-phosphate phospholyase)
P0A3Y5,aphA,"Aminoglycoside 3'-phosphotransferase (EC 2.7.1.95) (APH(3')III) (Kanamycin kinase, type III) (Neomycin-kanamycin phosphotransferase type III)"
P0A6H7,hslU,ATP-dependent protease ATPase subunit HslU (Heat shock protein HslU) (Unfoldase HslU)
P0A6I8,coaD,Phosphopantetheine adenylyltransferase (EC 2.7.7.3) (Dephospho-CoA pyrophosphorylase) (Pantetheine-phosphate adenylyltransferase) (PPAT)
P0A6L6,nanA,N-acetylneuraminate lyase (NAL) (Neu5Ac lyase) (EC 4.1.3.3) (N-acetylneuraminate pyruvate-lyase) (N-acetylneuraminic acid aldolase) (Sialate lyase) (Sialic acid aldolase) (Sialic acid lyase)
P0A6T8,folE,GTP cyclohydrolase 1 (EC 3.5.4.16) (GTP cyclohydrolase I) (GTP-CH-I)
P0A716,kdsA,2-dehydro-3-deoxyphosphooctonate aldolase (EC 2.5.1.55) (3-deoxy-D-manno-octulosonic acid 8-phosphate synthase) (KDO-8-phosphate synthase) (KDO 8-P synthase) (KDOPS) (Phospho-2-dehydro-3-deoxyoctonate aldolase)
P0A721,tmk,Thymidylate kinase (EC 2.7.4.9) (Thymidine monophosphate kinase) (dTMP kinase) (TMPK)
P0A733,mgsA,Methylglyoxal synthase (MGS) (EC 4.2.3.3)
P0A745,msrA,Peptide methionine sulfoxide reductase MsrA (Protein-methionine-S-oxide reductase) (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase)
P0A751,murA,UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7) (Enoylpyruvate transferase) (UDP-N-acetylglucosamine enolpyruvyl transferase) (EPT)
P0A789,pyrB,Aspartate carbamoyltransferase catalytic subunit (EC 2.1.3.2) (Aspartate transcarbamylase) (ATCase)
P0A793,panD,Aspartate 1-decarboxylase (EC 4.1.1.11) (Aspartate alpha-decarboxylase) [Cleaved into: Aspartate 1-decarboxylase beta chain; Aspartate 1-decarboxylase alpha chain]
P0A7G9,recA,Protein RecA (Recombinase A)
P0A7J6,rplJ,Large ribosomal subunit protein uL10 (50S ribosomal protein L10)
P0A7Z3,rpiA,Ribose-5-phosphate isomerase A (EC 5.3.1.6) (Phosphoriboisomerase A) (PRI)
P0A820,metK,S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)
P0A827,glyA,Serine hydroxymethyltransferase (SHMT) (Serine methylase) (EC 2.1.2.1)
P0A872,talB,Transaldolase B (EC 2.2.1.2)
P0A8M5,thrS,Threonine--tRNA ligase (EC 6.1.1.3) (Threonyl-tRNA synthetase) (ThrRS)
P0A8V9,fadR,Fatty acid metabolism regulator protein
P0A915,ompW,Outer membrane protein W
P0A917,ompX,Outer membrane protein X
P0A333,kcsA,pH-gated potassium channel KcsA
P0A3D9,isiB,Flavodoxin
P0A6V7,glpE,Thiosulfate sulfurtransferase GlpE (EC 2.8.1.1)
P0A753,nadD,Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18) (Deamido-NAD(+) diphosphorylase) (Deamido-NAD(+) pyrophosphorylase) (Nicotinate mononucleotide adenylyltransferase) (NaMN adenylyltransferase)
P0A808,frr,Ribosome-recycling factor (RRF) (Ribosome-releasing factor)
P0A876,trmD,tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)
P0A8X2,yceI,Protein YceI
P0ABF6,cdd,Cytidine deaminase (EC 3.5.4.5) (Cytidine aminohydrolase) (CDA)
P0ABK9,nrfA,Cytochrome c-552 (EC 1.7.2.2) (Ammonia-forming cytochrome c nitrite reductase) (Cytochrome c nitrite reductase)
P0ABP8,deoD,Purine nucleoside phosphorylase DeoD-type (PNP) (EC 2.4.2.1)
P0ABQ0,coaBC,Coenzyme A biosynthesis bifunctional protein CoaBC (DNA/pantothenate metabolism flavoprotein) (Phosphopantothenoylcysteine synthetase/decarboxylase) (PPCS-PPCDC) [Includes: Phosphopantothenoylcysteine decarboxylase (PPC decarboxylase) (PPC-DC) (EC 4.1.1.36) (CoaC); Phosphopantothenate--cysteine ligase (EC 6.3.2.5) (CoaB) (Phosphopantothenoylcysteine synthetase) (PPC synthetase) (PPC-S)]
P0ABQ4,folA,Dihydrofolate reductase (EC 1.5.1.3)
P0AC13,folP,Dihydropteroate synthase (DHPS) (EC 2.5.1.15) (Dihydropteroate pyrophosphorylase)
P0AC38,aspA,Aspartate ammonia-lyase (Aspartase) (EC 4.3.1.1)
P0AC41,sdhA,Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)
P0AC44,sdhD,Succinate dehydrogenase hydrophobic membrane anchor subunit
P0AC47,frdB,Fumarate reductase iron-sulfur subunit (EC 1.3.5.1) (Quinol-fumarate reductase iron-sulfur subunit) (QFR iron-sulfur subunit)
P0ACB2,hemB,Delta-aminolevulinic acid dehydratase (ALAD) (ALADH) (EC 4.2.1.24) (Porphobilinogen synthase)
P0ACC1,prmC,Release factor glutamine methyltransferase (RF MTase) (EC 2.1.1.297) (M.EcoKHemKP) (N5-glutamine methyltransferase PrmC) (Protein release factor methylation C) (Protein-(glutamine-N5) MTase PrmC) (Protein-glutamine N-methyltransferase PrmC)
P0ACC7,glmU,Bifunctional protein GlmU [Includes: UDP-N-acetylglucosamine pyrophosphorylase (EC 2.7.7.23) (N-acetylglucosamine-1-phosphate uridyltransferase); Glucosamine-1-phosphate N-acetyltransferase (EC 2.3.1.157)]
P0ACJ8,crp,DNA-binding transcriptional dual regulator CRP (Catabolite activator protein) (CAP) (Catabolite gene activator) (cAMP receptor protein) (CRP) (cAMP regulatory protein) (cAMP-activated global transcriptional regulator CRP)
P0ACQ4,oxyR,DNA-binding transcriptional dual regulator OxyR (Hydrogen peroxide-inducible genes activator) (Morphology and auto-aggregation control protein)
P0AD65,mrdA,"Peptidoglycan D,D-transpeptidase MrdA (EC 3.4.16.4) (Class B penicillin-binding protein 2) (Penicillin-binding protein 2) (PBP-2) (PBP2) (Transpeptidase PBP2) (TP PBP2)"
P0AD68,ftsI,"Peptidoglycan D,D-transpeptidase FtsI (EC 3.4.16.4) (Essential cell division protein FtsI) (Murein transpeptidase) (Penicillin-binding protein 3) (PBP-3) (Peptidoglycan synthase FtsI)"
P0ADA1,tesA,Thioesterase 1/protease 1/lysophospholipase L1 (TAP) (Acyl-CoA thioesterase 1) (TESA) (EC 3.1.2.2) (Acyl-CoA thioesterase I) (Arylesterase) (EC 3.1.1.2) (Lysophospholipase L1) (EC 3.1.1.5) (Oleoyl-[acyl-carrier-protein] hydrolase) (EC 3.1.2.14) (Phospholipid degradation C) (Pldc) (Protease 1) (EC 3.4.21.-) (Protease I) (Thioesterase I/protease I) (TEP-I)
P0ADY7,rplP,Large ribosomal subunit protein uL16 (50S ribosomal protein L16)
P0AE12,amn,AMP nucleosidase (EC 3.2.2.4)
P0AE18,map,Methionine aminopeptidase (MAP) (MetAP) (EC 3.4.11.18) (Peptidase M)
P0AE22,aphA,Class B acid phosphatase (CBAP) (EC 3.1.3.2)
P0AE67,cheY,Chemotaxis protein CheY
P0AEB2,dacA,D-alanyl-D-alanine carboxypeptidase DacA (DD-carboxypeptidase) (DD-peptidase) (EC 3.4.16.4) (Beta-lactamase) (EC 3.5.2.6) (Penicillin-binding protein 5) (PBP-5)
P0AEE5,mglB,D-galactose/methyl-galactoside binding periplasmic protein MglB (D-galactose-binding periplasmic protein) (GBP) (D-galactose/D-glucose-binding protein) (GGBP)
P0AEG4,dsbA,Thiol:disulfide interchange protein DsbA
P0AEG6,dsbC,Thiol:disulfide interchange protein DsbC
P0AEJ4,envZ,Sensor histidine kinase EnvZ (EC 2.7.13.3) (Osmolarity sensor protein EnvZ)
P0AEK2,fabG,3-oxoacyl-[acyl-carrier-protein] reductase FabG (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase) (Beta-Ketoacyl-acyl carrier protein reductase) (Beta-ketoacyl-ACP reductase)
P0AEK4,fabI,Enoyl-[acyl-carrier-protein] reductase [NADH] FabI (ENR) (EC 1.3.1.9) (NADH-dependent enoyl-ACP reductase)
P0AEK7,fdnI,"Formate dehydrogenase, nitrate-inducible, cytochrome b556(Fdn) subunit (Anaerobic formate dehydrogenase cytochrome b556 subunit) (Formate dehydrogenase-N subunit gamma) (FDH-N subunit gamma)"
P0AER0,glpF,Glycerol uptake facilitator protein (Aquaglyceroporin) (Glycerol facilitator)
P0AES2,gudD,Glucarate dehydratase (GDH) (GlucD) (EC 4.2.1.40) (D-glucarate dehydratase)
P0AES6,gyrB,DNA gyrase subunit B (EC 5.6.2.2) (Type IIA topoisomerase subunit GyrB)
P0AET8,hdhA,7alpha-hydroxysteroid dehydrogenase (7alpha-HSDH) (EC 1.1.1.159) (NAD-dependent 7alpha-hydroxysteroid dehydrogenase)
P0AEX9,malE,Maltose/maltodextrin-binding periplasmic protein (MMBP) (Maltodextrin-binding protein) (Maltose-binding protein) (MBP)
P0AEZ1,metF,"5,10-methylenetetrahydrofolate reductase (MTHFR) (EC 1.5.1.54) (NADH-dependent 5,10-methylenetetrahydrofolate reductase)"
P0AF12,mtnN,5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)
